 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Jun/2020
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"130008 Anamã";4;4;4008,55;3512,33;-;-;496,22;-;-;1002,14;1002,14;22;5,5;1;25,00
"130010 Anori";53;53;16481,53;12549,96;-;-;3931,57;-;-;310,97;310,97;169;3,2;-;-
"130014 Apuí";1;1;1525,40;1221,39;-;-;304,01;-;-;1525,40;1525,40;4;4,0;-;-
"130020 Atalaia do Norte";45;45;89903,69;74717,96;-;-;15185,73;-;-;1997,86;1997,86;215;4,8;2;4,44
"130030 Autazes";32;32;127361,19;106621,12;-;-;20740,07;-;-;3980,04;3980,04;202;6,3;5;15,63
"130040 Barcelos";7;7;23088,83;19572,14;-;-;3516,69;-;-;3298,40;3298,40;39;5,6;2;28,57
"130050 Barreirinha";21;21;30990,58;25050,65;-;-;5939,93;-;-;1475,74;1475,74;109;5,2;1;4,76
"130060 Benjamin Constant";7;7;38777,28;33039,09;-;-;5738,19;-;-;5539,61;5539,61;82;11,7;-;-
"130063 Beruri";3;3;2737,67;2274,31;-;-;463,36;-;-;912,56;912,56;26;8,7;-;-
"130068 Boa Vista do Ramos";48;48;23171,21;16677,34;-;-;6493,87;-;-;482,73;482,73;234;4,9;3;6,25
"130070 Boca do Acre";98;98;57412,14;44387,61;-;-;13024,53;-;-;585,84;585,84;313;3,2;8;8,16
"130080 Borba";161;161;138796,37;108509,00;-;-;30287,37;-;-;862,09;862,09;572;3,6;4;2,48
"130083 Caapiranga";77;77;27121,64;20577,24;-;-;6544,40;-;-;352,23;352,23;231;3,0;2;2,60
"130090 Canutama";4;4;1161,68;824,12;-;-;337,56;-;-;290,42;290,42;10;2,5;-;-
"130100 Carauari";76;76;59841,64;43087,21;-;-;16754,43;-;-;787,39;787,39;263;3,5;2;2,63
"130110 Careiro";111;111;94489,59;74281,08;-;-;20208,51;-;-;851,26;851,26;345;3,1;4;3,60
"130115 Careiro da Várzea";30;30;36259,81;28667,47;-;-;7592,34;-;-;1208,66;1208,66;169;5,6;2;6,67
"130120 Coari";389;389;336329,12;245116,85;-;-;91212,27;-;-;864,60;864,60;1274;3,3;34;8,74
"130130 Codajás";71;71;41798,47;31708,39;-;-;10090,08;-;-;588,71;588,71;343;4,8;2;2,82
"130140 Eirunepé";3;3;5157,87;3645,37;-;-;1512,50;-;-;1719,29;1719,29;35;11,7;-;-
"130150 Envira";19;19;11073,81;7770,42;-;-;3303,39;-;-;582,83;582,83;45;2,4;-;-
"130160 Fonte Boa";5;5;3669,44;3026,42;-;-;643,02;-;-;733,89;733,89;34;6,8;-;-
"130165 Guajará";22;22;28547,35;22047,45;-;-;6499,90;-;-;1297,61;1297,61;95;4,3;-;-
"130170 Humaitá";32;32;35535,14;30422,49;-;-;5112,65;-;-;1110,47;1110,47;211;6,6;1;3,13
"130180 Ipixuna";153;153;53488,94;39533,01;-;-;13955,93;-;-;349,60;349,60;322;2,1;-;-
"130185 Iranduba";129;129;191889,54;154121,32;-;-;37768,22;-;-;1487,52;1487,52;693;5,4;16;12,40
"130190 Itacoatiara";52;52;147164,88;122079,44;-;-;25085,44;-;-;2830,09;2830,09;459;8,8;11;21,15
"130195 Itamarati";3;3;2447,24;1716,42;-;-;730,82;-;-;815,75;815,75;14;4,7;-;-
"130200 Itapiranga";12;12;7310,73;5278,57;-;-;2032,16;-;-;609,23;609,23;38;3,2;1;8,33
"130210 Japurá";68;68;32777,28;23573,99;-;-;9203,29;-;-;482,02;482,02;246;3,6;-;-
"130220 Juruá";2;2;1140,27;759,19;-;-;381,08;-;-;570,13;570,13;3;1,5;-;-
"130230 Jutaí";3;3;3956,15;3130,00;-;-;826,15;-;-;1318,72;1318,72;5;1,7;1;33,33
"130240 Lábrea";18;18;47415,00;39581,89;-;-;7833,11;-;-;2634,17;2634,17;187;10,4;5;27,78
"130250 Manacapuru";87;87;266730,57;225787,03;-;-;40943,54;-;-;3065,87;3065,87;753;8,7;15;17,24
"130255 Manaquiri";15;15;47427,81;40259,76;-;-;7168,05;-;-;3161,85;3161,85;127;8,5;5;33,33
"130260 Manaus";9048;9049;15356323,15;12272275,62;-;-;3084047,53;-;-;1697,02;1697,21;58613;6,5;1110;12,27
